Subject,Start Date,Start Time,End Date,End Time,All Day,Description,Location
Technika mikroprocesorowa,10/02/2025,8:00am,10/02/2025,9:30am,false,Grupa: 5 Prowadzący: mgr inż. Katarzyna Heryan,D17 sala 3.24
Sieci komputerowe,10/02/2025,9:45am,10/02/2025,11:15am,false,Grupa: 9 Prowadzący: dr inż. Sławomir Zieliński,D17 sala 4.23
Grafika komputerowa,10/06/2025,6:30pm,10/06/2025,8:00pm,false,Grupa: 5 Prowadzący: dr hab. inż. Tadeusz Szuba,C2 sala 214
Teoria współbieżności,10/07/2025,8:00am,10/07/2025,9:30am,false,Grupa: 3 Prowadzący: dr inż. Katarzyna Rycerz,D17 sala 4.31
Podstawy sztucznej inteligencji,10/07/2025,9:45am,10/07/2025,11:15am,false,Grupa: 14 Prowadzący: mgr inż. Andrzej Brodzicki,D17 sala 3.27d
Teoria obliczeń i złożoności obliczeniowej,10/08/2025,8:00am,10/08/2025,9:30am,false,Grupa: 4 Prowadzący: mgr inż. Łukasz Janeczko,D17 sala 3.27b
Technika mikroprocesorowa,10/09/2025,8:00am,10/09/2025,9:30am,false,Grupa: 5 Prowadzący: mgr inż. Katarzyna Heryan,D17 sala 3.24
Sieci komputerowe,10/09/2025,9:45am,10/09/2025,11:15am,false,Grupa: 9 Prowadzący: dr Bernard Maj,D17 sala 4.23
Algorytmy macierzowe,10/10/2025,4:45pm,10/10/2025,6:15pm,false,Grupa: 2 Prowadzący: dr inż. Tomasz Służalec,D17 sala 4.28
Teoria kompilacji,10/13/2025,6:30pm,10/13/2025,8:00pm,false,Grupa: 4 Prowadzący: dr inż. Janusz Majewski,D17 sala 3.27c
Teoria współbieżności,10/14/2025,8:00am,10/14/2025,9:30am,false,Grupa: 3 Prowadzący: dr inż. Katarzyna Rycerz,D17 sala 4.31
Teoria kompilacji,10/15/2025,8:00am,10/15/2025,9:30am,false,Grupa: 1 Prowadzący: dr inż. Marcin Kuta,D17 sala 3.22
Technika mikroprocesorowa,10/16/2025,8:00am,10/16/2025,9:30am,false,Grupa: 5 Prowadzący: mgr inż. Katarzyna Heryan,D17 sala 3.24
Sieci komputerowe,10/16/2025,9:45am,10/16/2025,11:15am,false,Grupa: 9 Prowadzący: dr inż. Sławomir Zieliński,D17 sala 4.23
Grafika komputerowa,10/20/2025,6:30pm,10/20/2025,8:00pm,false,Grupa: 5 Prowadzący: dr hab. inż. Tadeusz Szuba,C2 sala 214
Teoria współbieżności,10/21/2025,8:00am,10/21/2025,9:30am,false,Grupa: 3 Prowadzący: dr inż. Katarzyna Rycerz,D17 sala 4.31
Podstawy sztucznej inteligencji,10/21/2025,9:45am,10/21/2025,11:15am,false,Grupa: 14 Prowadzący: mgr inż. Andrzej Brodzicki,D17 sala 3.27d
Teoria obliczeń i złożoności obliczeniowej,10/22/2025,8:00am,10/22/2025,9:30am,false,Grupa: 4 Prowadzący: mgr inż. Łukasz Janeczko,D17 sala 3.27b
Technika mikroprocesorowa,10/23/2025,8:00am,10/23/2025,9:30am,false,Grupa: 5 Prowadzący: mgr inż. Katarzyna Heryan,D17 sala 3.24
Sieci komputerowe,10/23/2025,9:45am,10/23/2025,11:15am,false,Grupa: 9 Prowadzący: dr inż. Sławomir Zieliński,D17 sala 4.23
Algorytmy macierzowe,10/24/2025,4:45pm,10/24/2025,6:15pm,false,Grupa: 2 Prowadzący: dr inż. Tomasz Służalec,D17 sala 4.28
Architektura Danych i Zarządzanie Informacją,10/24/2025,6:30pm,10/24/2025,8:00pm,false,Grupa: 3 Prowadzący: mgr inż. Jacek Nawrot,D17 sala 4.31
Teoria kompilacji,10/27/2025,6:30pm,10/27/2025,8:00pm,false,Grupa: 4 Prowadzący: dr inż. Janusz Majewski,D17 sala 3.27c
Teoria współbieżności,10/28/2025,8:00am,10/28/2025,9:30am,false,Grupa: 3 Prowadzący: dr inż. Katarzyna Rycerz,D17 sala 4.31
Teoria kompilacji,10/29/2025,8:00am,10/29/2025,9:30am,false,Grupa: 1 Prowadzący: dr inż. Marcin Kuta,D17 sala 3.22
Technika mikroprocesorowa,10/30/2025,8:00am,10/30/2025,9:30am,false,Grupa: 5 Prowadzący: mgr inż. Katarzyna Heryan,D17 sala 3.24
Sieci komputerowe,10/30/2025,9:45am,10/30/2025,11:15am,false,Grupa: 9 Prowadzący: dr inż. Sławomir Zieliński,D17 sala 4.23
Grafika komputerowa,11/03/2025,6:30pm,11/03/2025,8:00pm,false,Grupa: 5 Prowadzący: dr hab. inż. Tadeusz Szuba,C2 sala 214
Teoria współbieżności,11/04/2025,8:00am,11/04/2025,9:30am,false,Grupa: 3 Prowadzący: dr inż. Katarzyna Rycerz,D17 sala 4.31
Podstawy sztucznej inteligencji,11/04/2025,9:45am,11/04/2025,11:15am,false,Grupa: 14 Prowadzący: mgr inż. Andrzej Brodzicki,D17 sala 3.27d
Teoria obliczeń i złożoności obliczeniowej,11/05/2025,8:00am,11/05/2025,9:30am,false,Grupa: 4 Prowadzący: mgr inż. Łukasz Janeczko,D17 sala 3.27b
Technika mikroprocesorowa,11/06/2025,8:00am,11/06/2025,9:30am,false,Grupa: 5 Prowadzący: mgr inż. Katarzyna Heryan,D17 sala 3.24
